Video ID,Title,Upload Date,Numeric Date,Video Type,Duration,Duration in s,View Count,Like Count,Comment Count
5_tuvX5ZqKk,Do you think he'll approve?,2024-05-01,20240501,Short,36S,36,2609190,175072,927
NvG2yteNJeo,Does it Deep Fry? Beef Short Ribs,2024-04-30,20240430,Short,28S,28,2514636,152978,299
t6b4kl2jn5s,Thor’s hammer cooked in fire salt…,2024-04-28,20240428,Short,1M,60,34401395,1636370,5049
5o9tKN4r8D8,The World's Biggest Salmon Chip…,2024-04-27,20240427,Short,59S,59,5537653,360231,1036
u79myUBKyjA,Day in the life at a beef jerky factory,2024-04-25,20240425,Short,58S,58,1505256,95702,313
XUP2UX-Ghsg,Flying with frozen meat...,2024-04-19,20240419,Short,45S,45,6437312,414538,767
vGDWdPipx6g,Cheap Wagyu A5 vs Expensive Grass-fed,2024-04-10,20240410,Short,30S,30,6061752,311915,729
Qf0bKgn5zvg,Cooking for Friends (Fantasy Football Edition),2024-04-02,20240402,Short,53S,53,5802045,351770,896
kBF-QMtCdsY,Peking Brisket,2024-04-01,20240401,Short,49S,49,1073670,70958,254
KbXElPzIW7g,Tomahawk Biggie Mac @albert_cancook,2024-03-18,20240318,Short,31S,31,7940067,440712,1218
BxqTHHAAmkQ,The most important meeting of my life…,2024-03-12,20240312,Short,1M,60,2283949,159064,424
8Wofo0Pyt4o,Crème Brûlée Pork Belly Burnt Ends,2024-03-04,20240304,Short,46S,46,9431439,384219,1834
whs9OexwT5o,“Well Done” Wagyu A5 😳,2024-02-29,20240229,Short,36S,36,6165908,314420,1726
MO1u9sjNlio,What should I call this?,2024-02-28,20240228,Short,9S,9,2388748,85400,3113
p0nwjMREcTs,A special batch of jerky…,2024-02-25,20240225,Short,26S,26,3664819,168275,1137
NGrLLf_QMGc,Deep Fried Pork Belly Accordion,2024-02-22,20240222,Short,22S,22,2169525,119612,532
reUbPP1a0_c,30 Day Dry Aged Buffalo Brisket,2024-02-20,20240220,Short,53S,53,7046705,456834,573
AQJFGq1DEfY,I caught her cheating on Valentine's Day...,2024-02-14,20240214,Short,45S,45,25938821,1219218,6717
KxM-5_FqIBM,This was actually raw...,2024-02-13,20240213,Short,28S,28,3474360,177131,1640
PEbdJgWoZ8w,Impress your valentine with…,2024-02-11,20240211,Short,29S,29,6335596,418805,1452
seEcFZGgtek,Crispy Skin Buffalo Chicken Dip,2024-02-08,20240208,Short,45S,45,6256308,387569,989
LZwkkuEedDM,World's biggest corn dog… meat sticks live at maxjerky.com!,2024-02-06,20240206,Short,22S,22,7309623,172486,1091
LhcdE6mJWX4,She asked me to catch a fish...,2024-02-04,20240204,Short,26S,26,1777676,91772,546
O4ho8IOpmas,Mango Habanero Pork Belly Twists,2024-02-01,20240201,Short,24S,24,1399970,82681,239
3eGqirz2P7Y,Best “juicy” comment wins...,2024-01-25,20240125,Short,9S,9,3287427,128373,5127
0_SdRI7NdMw,Homemade Wagyu A5,2024-01-24,20240124,Short,36S,36,3853946,229315,722
5HYPRF8ZPqQ,Cooking a Prime Rib in 10lb of MSG,2024-01-12,20240112,Short,54S,54,7981151,503503,3585
T33JUBAig3c,NYE King Crab Round 2,2024-01-08,20240108,Short,1M,60,16421126,866691,3732
n_-5Tob_EJQ,24k Gold Dry Aged Ribeye,2023-12-31,20231231,Short,47S,47,1678646,100751,551
Wg3-dP4UGcE,My Brothers Industrial Bakery,2023-12-27,20231227,Short,54S,54,4466830,293374,677
IwCzubRup54,Chili Crisp Injected & Dry Aged Ribeye,2023-12-19,20231219,Short,34S,34,6844067,353677,701
ExQrrKffaK8,Deep Fried Prime Rib,2023-12-18,20231218,Short,34S,34,2537461,134270,421
Jg5yjQrY-t8,Not Your Average Chicken Bacon Ranch,2023-12-16,20231216,Short,19S,19,3485589,184239,564
Cq-qGAcChRM,Steak & Happy Potatoes,2023-12-16,20231216,Short,36S,36,3643234,244460,777
pYwoOxWndls,Car Cooking: Wagyu A5 Big Mac @itsQCP,2023-12-13,20231213,Short,40S,40,15155058,770689,956
PgW60Xw7f60,The Perfect Prime Rib,2023-12-11,20231211,Short,46S,46,1086334,70916,571
cC2d8zjCZPA,The Pizzaball Sub,2023-12-07,20231207,Short,36S,36,672432,42702,322
GvWa-N_IWIE,I accidentally made pink short ribs…,2023-12-03,20231203,Short,42S,42,3354811,195694,559
JX0_STmuigQ,I Marinated Short Ribs for 10 Days...,2023-11-28,20231128,Short,47S,47,2991693,183707,472
8eCovKu12h4,What I ate in China,2023-11-26,20231126,Short,51S,51,4929580,329050,1211
MchzmS7qu7A,Wagyu A5 Steak Accordion,2023-11-24,20231124,Short,1M,60,5878277,350551,1039
xNMTeHu8R8w,Deep Fried Turkey,2023-11-19,20231119,Short,36S,36,8681670,526577,1226
jpqMxSKk1BQ,How to Smoke Meat INDOORS,2023-11-16,20231116,Short,33S,33,9077324,539241,2256
0owVfqYgaJg,Beef vs Tofu,2023-11-11,20231111,Short,20S,20,8737376,453719,4399
z9hiA5fhCOU,The worst cooking appliance of all time...,2023-11-10,20231110,Short,14S,14,6775820,401803,1322
GWDUG2UnSjw,A Plate of Bacon (literally),2023-11-04,20231104,Short,29S,29,7142209,365078,1270
v5SdCKWQM3I,Cooking Brisket in 10lbs of Salt,2023-11-01,20231101,Short,1M,60,27596624,1410441,4904
FoEfFtdwEgc,The Cheapest Wagyu A5 I Could Find...,2023-10-27,20231027,Short,38S,38,5705893,304692,716
_LmRrKu401s,Filet mignon... like a brisket?,2023-10-24,20231024,Short,49S,49,13518331,659976,1865
Twk0OmkN2gE,A peace offering...,2023-10-20,20231020,Short,1M,60,14149875,910966,2566
X3ZfD7W1-cw,Is it Flatbread or Pizza?,2023-10-18,20231018,Short,49S,49,9450032,519324,2758
KRspJcpai-Y,When an old man gives you a chicken...,2023-10-10,20231010,Short,1M,60,3181618,236242,814
W9rsY4QG2NY,Don't Make Promises You Can't Keep...,2023-10-02,20231002,Short,1M,60,62616204,2717545,6703
avhcZ6Iuv2w,Wagyu Tallow Dry Aged Lamb Shoulder,2023-09-28,20230928,Short,52S,52,15855378,858538,2188
6ynfeCAzr0U,Garlic Confit Cowboy Butter,2023-09-20,20230920,Short,29S,29,4812638,321950,589
fztZ-oIXQMk,Chicharron Charcuterie Board,2023-09-11,20230911,Short,41S,41,16120768,872907,3369
wLyQXLeXdc8,McDonald’s Beef Jerky,2023-09-10,20230910,Short,35S,35,3402742,200536,627
WkMPySeHKGY,Rib Cap Wellington… Gordon’s not going to be happy,2023-09-02,20230902,Short,40S,40,1917768,126077,746
YYfB_R2TjLI,The World's Most Expensive Beef Jerky,2023-08-29,20230829,Short,37S,37,2928252,229917,982
bf-Nksvtiww,She Wanted Raw Lobster...,2023-08-22,20230822,Short,30S,30,18834933,680653,6862
KujgczNVy_Q,Dry Aged Fish Catch & Cook,2023-08-18,20230818,Short,1M,60,2871331,213371,657
