Video ID,Title,Upload Date,Video Type,Duration,Duration in s,View Count,Like Count,Comment Count
qdFSwBwWG1Q,How to Build a POWERFUL WhatsApp Chatbot in 5 Minutes,2025-04-22,Long Form,7M6S,426,17825,188,32
KIYGklgl4bI,How to Build a Telegram Chatbot in 10 Minutes,2025-04-15,Long Form,13M32S,812,6942,59,4
EBoBlJWmnVE,Botpress for Customer Support: Conversation Demo,2025-03-31,Long Form,1M35S,95,1740,30,5
CbUB2eNYTYU,How to Build an AI Appointment Chatbot with Calendly,2025-03-27,Long Form,32M40S,1960,5276,72,8
OCi-v9MW8pM,Botpress Dashboard Interface Guide: Users,2025-03-25,Long Form,1M3S,63,1064,6,0
zGODFHqkG_g,Botpress Dashboard Interface Guide: Tables,2025-03-25,Long Form,1M2S,62,798,7,0
Gh1ofpzRXeI,Botpress Dashboard Interface Guide: Settings,2025-03-25,Long Form,56S,56,787,3,0
MhFjY2ysCXw,Botpress Dashboard Interface Guide: Billing,2025-03-25,Long Form,49S,49,883,3,0
PdRBxgqxjrg,Copy and Paste Botpress Bots,2025-03-21,Long Form,1M47S,107,649,8,1
D9FZjMvYRe4,Use Notion as a Botpress Knowledge Base,2025-03-21,Long Form,1M12S,72,800,13,2
AB9zJZinfvI,Conversation-Scoped Logs - breakthrough in debugging bot logs,2025-03-20,Long Form,2M8S,128,178,2,0
KY7sDl-u5qk,Botpress Studio Interface Guide: Assistant,2025-03-19,Long Form,1M11S,71,809,8,0
VdDh8Nvn6gI,Botpress Studio Interface Guide: Actions,2025-03-19,Long Form,1M3S,63,1451,8,2
3Y_WlvMT8AA,How to sync BigCommerce products in a Botpress Table,2025-03-13,Long Form,3M51S,231,315,3,0
P3HRY02aGBk,Botpress in 120 seconds | Platform Walkthrough,2025-03-13,Long Form,2M15S,135,3008,76,2
i3DBiCzk5NY,Welcome to Botpress | The Complete AI Agent Platform,2025-03-05,Long Form,1M21S,81,11724,81,2
-N4OoKg_w4I,Advanced Chatbot Building Techniques,2025-02-28,Long Form,1H29M39S,5379,10825,191,24
fmYYZteKKg8,Adding Functions to Autonomous Nodes,2025-02-24,Long Form,7M40S,460,2891,32,7
PzGFVqOzDsk,How to build an AI chatbot for WordPress (2025),2025-02-24,Long Form,22M4S,1324,7492,90,8
e4LnWQE9yC4,Botpress Studio Interface Guide: Bot Settings,2025-02-14,Long Form,1M48S,108,1580,14,2
fNAf1ZvDRg8,Botpress Studio Interface Guide: Nodes,2025-02-14,Long Form,1M48S,108,2141,8,0
l_yWwNYxUv0,Botpress Studio Interface Guide: Knowledge Bases,2025-02-14,Long Form,1M15S,75,1984,15,1
uY5KjpBKHYU,Botpress Studio Interface Guide: Tables,2025-02-14,Long Form,1M41S,101,1768,13,0
Lrt4LLiW6Do,Botpress Studio Interface Guide: Hub,2025-02-14,Long Form,1M31S,91,980,6,0
gShJ6S6wk7w,Botpress Studio Interface Guide: Variables,2025-02-14,Long Form,1M37S,97,1512,11,1
