Video ID,Title,Upload Date,Video Type,Duration,Duration in s,View Count,Like Count,Comment Count
ve7UWojOdWU,NBA Y2K: THIS IS THE END. ROLL THE CREDITS.,2014-06-04,Long Form,2M43S,163,162548,975,63
bGc8_p61lsY,NBA Y2K: THE DEATH OF BASKETBALL.,2014-05-27,Long Form,2M18S,138,235375,1339,82
TkaO-qeyOEU,NBA Y2K: BEEFTANK SMILES.,2014-05-01,Long Form,2M24S,144,36127,551,24
qXX8cZDTkcY,NBA Y2K: THE MEMPHIS GRIZZLIES' SECRET WEAPON.,2014-04-28,Long Form,1M28S,88,24741,114,4
9k493JCmuPw,"NBA Y2K, OUTKASTKETBALL: THE CONCLUSION.",2014-04-24,Long Form,3M1S,181,29886,161,17
eR9dEWeHjB4,NBA Y2K: THE ATLANTA HAWKS' QUEST FOR 404 POINTS IN A GAME.,2014-04-21,Long Form,1M44S,104,20386,117,6
hcO_JvK9C-8,"NBA Y2K, KOBES BRYANT: THE CONCLUSION.",2014-04-17,Long Form,2M33S,153,28798,264,23
wMbFL-IeYfk,NBA Y2K: KOBES BRYANT.,2014-04-15,Long Form,1M15S,75,24808,110,7
71iMFum5gyc,"NBA Y2K, EPISODE 1: THE CONCLUSION.",2014-04-01,Long Form,1M26S,86,29414,174,4
ek0KkUftY3c,"NBA Y2K, SERIES PREMIERE: THE RETURN OF BOBERT AWFUL.",2014-03-26,Long Form,1M9S,69,25068,119,7
A26XK9OLweA,"BREAKING MADDEN, SEASON 1: ROLL THE CREDITS.",2014-01-30,Long Form,4M9S,249,124533,731,40
CeKC7cH1-kI,BREAKING MADDEN: SUPER BOWL XLVIII.,2014-01-28,Long Form,1M37S,97,531051,4228,184
D-Mz6kmUacw,BREAKING MADDEN: BEEFTANK'S PATH TO SELF.,2014-01-16,Long Form,2M19S,139,45928,294,19
r3ztWQYfxfA,BREAKING MADDEN: 49ERS VS. SEAHAWKS.,2014-01-14,Long Form,1M,60,26274,47,9
2JMPkAB1gCM,"BREAKING MADDEN, TOUCHDOWN TOM: THE CONCLUSION.",2014-01-08,Long Form,3M8S,188,50880,144,17
0vpVeJqx7gI,BREAKING MADDEN: PATRIOTS VS. COLTS.,2014-01-06,Long Form,1M6S,66,37316,129,17
--EBuRO9CqU,BREAKING MADDEN: WEEK 15.,2013-12-12,Long Form,1M,60,14350,24,4
Wx_0junwSqQ,BREAKING MADDEN: WEEK 15.,2013-12-10,Long Form,37S,37,18926,45,3
bKUANi2IBT4,"BREAKING MADDEN, WEEK 14: HELLO, DREW.",2013-12-05,Long Form,53S,53,41580,110,14
g_AplPgNtQs,BREAKING MADDEN: WEEK 14.,2013-12-03,Long Form,40S,40,3232,17,6
NPR5wpMSjD4,BREAKING MADDEN: WEEK 12 PREVIEW.,2013-11-20,Long Form,1M34S,94,23178,53,5
4UaQ1KI9vVw,"BREAKING MADDEN, WEEK 11: THE CONCLUSION.",2013-11-13,Long Form,1M28S,88,48848,72,6
I8sEc9HOCiw,BREAKING MADDEN: WEEK 11.,2013-11-11,Long Form,39S,39,42153,73,6
y6en1JCUOAc,BREAKING MADDEN: WEEK 10.,2013-11-04,Long Form,36S,36,18088,43,7
YwV2aB8GufE,BREAKING MADDEN: WEEK 9.,2013-10-29,Long Form,39S,39,27180,60,9
ekWG0wej0dw,koo,2013-10-24,Long Form,2M17S,137,8919,433,38
r3oF5uzlM4E,"BREAKING MADDEN, WEEK 8: FORTY-FOUR SCHIANO MEN.",2013-10-22,Long Form,44S,44,7425,50,3
P8y3jbuuzDg,The Wire Home Companion,2013-10-17,Long Form,23S,23,10590,56,3
TPplGkA8vG4,"BREAKING MADDEN, WEEK 7: RUN, VINCE, RUN.",2013-10-15,Long Form,35S,35,23577,105,5
B8dIUnb3XL4,"BREAKING MADDEN, WEEK 6: THE RETURN OF BEEFTANK",2013-10-08,Long Form,1M1S,61,41533,121,4
n92Ptqar5RM,"just lookin' through ""schaub sucks"" results on YouTube",2013-10-07,Long Form,1M21S,81,5397,48,5
EjOFjriYnv8,"Midnight Cowboy -- Dustin Hoffman leaves New York, pees hisself & cries",2013-10-02,Long Form,42S,42,5514,33,4
xJB1X1GhQ_o,dirtinthegrouuuuund,2013-10-01,Long Form,40S,40,26976,70,5
83Jp6rwckAY,pete & pete,2013-09-18,Long Form,33S,33,3452,76,8
HTczIKmC9Fw,ooof,2013-09-04,Long Form,26S,26,92132,382,30
DXodgyydZO0,SUPPERJUMPIN'.,2013-07-25,Long Form,4M42S,282,32321,899,69
SGUKTu282QQ,echo,2013-07-10,Long Form,26S,26,7140,66,15
0IxoW3s-IpY,slimeburgers,2013-07-07,Long Form,18S,18,2190,18,Disabled
sVGlJjieMpU,135,2013-07-03,Long Form,15S,15,1442,31,4
27pFH464vY0,marino,2013-06-12,Long Form,27S,27,1268,10,2
mAXrvRijn_s,couples,2013-06-12,Long Form,14S,14,1760,7,2
SiOSyR5YNOc,net,2013-06-12,Long Form,12S,12,3681,46,3
T-jpgoYsssI,AAAAAAHH,2013-05-26,Long Form,30S,30,29672,116,7
7tmLRCvVEB8,JEFFREY LORIA'S SAUCE REVIEWS!!!!,2013-04-16,Long Form,4M31S,271,4017,120,20
lDClr4pSWwY,africarmensandiego,2013-04-02,Long Form,59S,59,13099,38,7
oV9EtGVyvno,gregchief,2013-04-02,Long Form,1M22S,82,11257,44,3
eNQruYS5HNc,leif3,2013-03-05,Long Form,10S,10,42175,19,4
FGMe1vYTAL4,leif2,2013-03-04,Long Form,14S,14,98172,45,3
tXhauUWrhu8,blackbeard,2013-02-25,Long Form,48S,48,50475,36,4
9sMTqyLQLIc,welp,2013-02-25,Long Form,53S,53,65529,119,7
IXgVsp1FJfs,networktvonline.info,2012-08-03,Long Form,7M42S,462,2290,66,19
lfhdGodsRCw,you think it's easy to broadcast the olympics,2012-07-31,Long Form,1M26S,86,5098,203,17
UH6uxvarcQs,rbicut,2012-05-08,Long Form,18S,18,8890,24,5
TSAYCUgJuJI,qatarcut,2012-05-03,Long Form,8S,8,8510,33,5
5e83A2dZBNk,nbajamcut,2012-05-02,Long Form,42S,42,5562,15,3
LAX8gPIZr4A,"Worst Video Game Athletes: Shawn Chambers, NHLPA '93",2012-05-02,Long Form,23S,23,6510,62,6
iGtZG0w47LA,PLAY FOOTBALL WELL,2012-01-31,Long Form,32S,32,4820,130,12
D3JoD52wLQU,"COME TO EDSON, KANSAS",2012-01-31,Long Form,31S,31,11569,390,26
27Bfj1_EOmk,QWOP,2011-10-19,Long Form,2M3S,123,26296,607,68
jc8Vs0VZgbE,just real sad,2011-09-15,Long Form,3M4S,184,2853,74,14
CprQDvpjYzQ,NFL OPEN Alt EndLogo,2011-09-01,Long Form,31S,31,63789,302,22
GkthV7quk5g,pants,2011-08-09,Long Form,21S,21,1692,30,8
5tRgNt01ONs,glovefire,2011-08-09,Long Form,17S,17,1786,13,4
9RlwJhWXzH8,car2,2011-08-09,Long Form,1M14S,74,1075,20,9
frIXUa6NADU,car,2011-08-09,Long Form,2M48S,168,1105,22,18
LKNLzSPP0ys,drunkdriving,2011-08-09,Long Form,50S,50,1726,50,8
5TCR31S0XZg,taco,2011-08-09,Long Form,26S,26,2098,30,5
zAn1dV_kVxY,lasordaacting,2011-08-08,Long Form,16S,16,2239,38,5
dtb330LRGXE,superdunkshot,2011-04-28,Long Form,2M46S,166,2306,17,3
x5yroVGeUA0,nuggetsthunderjam,2011-04-15,Long Form,7M5S,425,4743,11,4
QrRHD_P_1rk,blazersmavericks,2011-04-14,Long Form,7M30S,450,4125,12,5
ZkMbs1hWwgc,spursgrizzlies,2011-04-14,Long Form,3M48S,228,3474,10,4
CsMrc7jUSVg,knickscelticspatriley,2011-04-14,Long Form,3M13S,193,3972,8,3
tPwjDiXXnfA,lakershornetsinthezone,2011-04-14,Long Form,4M56S,296,4842,30,4
mFphCAnfIhg,jammithawksvsmagic,2011-04-13,Long Form,6M37S,397,3011,14,4
HXK6Rx5kLmA,rapjam,2011-04-13,Long Form,7M8S,428,2953,13,8
W5wDq4yVYDY,RBI Baseball - Throwing the ball away,2010-09-27,Long Form,45S,45,4871,52,7
ljqUeWHBjUo,RBI Baseball - Bunt Rally,2010-09-27,Long Form,1M25S,85,5466,49,8
Fcrzs4UqfZo,Oddities,2008-11-13,Long Form,2M21S,141,26218,661,81
wOAqsJgq7h8,Interview with Bryan Sexton on Richard Collier shooting,2008-09-03,Long Form,3M56S,236,5092,18,4
I3zJlH7fkY4,MLB Video Previews: Los Angeles Dodgers,2008-03-26,Long Form,1M30S,90,2262,43,9
lEPayHsaESQ,MLB Video Previews: Arizona Diamondbacks,2008-03-25,Long Form,1M35S,95,1658,28,13
TOghilRF9iA,MLB Video Previews: Baltimore Orioles,2008-03-23,Long Form,1M30S,90,1712,19,6
VQaOYg2ErXQ,MLB Video Previews: Tampa Bay Rays,2008-03-22,Long Form,1M33S,93,2125,35,19
yknEeGNYuLY,MLB Video Previews: Atlanta Braves,2008-03-12,Long Form,1M45S,105,6167,53,8
ILNP5-VV1O0,MLB Video Previews: Philadelphia Phillies,2008-03-09,Long Form,1M37S,97,6084,53,10
elmIT6PsMao,MLB Video Previews: Washington Nationals,2008-03-07,Long Form,1M35S,95,3367,53,15
409Pjtq7jzY,You want it to be one way.,2008-03-01,Long Form,27S,27,335192,1667,302
4O6c9a9bovY,FanHouse MLB Video Previews: the Pittsburgh Pirates,2008-03-01,Long Form,1M30S,90,4811,106,22
1Rn09UqRnp0,12345,2007-10-11,Long Form,4M56S,296,15173,143,39
NQHOKb0Qg7g,statetris europe,2007-09-09,Long Form,1M57S,117,20847,598,90
